ID,Database,Name,Table,Description
1806,cpw_CouplesSelfExpansion,CoupleID,Background,Couple ID
1807,cpw_CouplesSelfExpansion,UserID,Background,Participant ID
1808,cpw_CouplesSelfExpansion,PartnerID,Background,Partner ID
1809,cpw_CouplesSelfExpansion,RecordID,Background,RecordID
1810,cpw_CouplesSelfExpansion,StartDate,Background,StartDate
1811,cpw_CouplesSelfExpansion,StartTime,Background,StartTime
1812,cpw_CouplesSelfExpansion,Consent,Background,QuestionID1
1813,cpw_CouplesSelfExpansion,SelfExpansion1,Background,How much does being with your partner result in your having new experiences?
1814,cpw_CouplesSelfExpansion,SelfExpansion2,Background,"When you are with your partner, do you feel a greater awareness of things because of him or her?"
1815,cpw_CouplesSelfExpansion,SelfExpansion3,Background,How much does your partner increase your ability to accomplish new things?
1816,cpw_CouplesSelfExpansion,SelfExpansion4,Background,How much does being with your partner make you more appealing to potential future mates?
1817,cpw_CouplesSelfExpansion,SelfExpansion5,Background,How much does your partner help to expand your sense of the kind of person you are?
1818,cpw_CouplesSelfExpansion,SelfExpansion6,Background,How much do you see your partner as a way to expand your own capabilities?
1819,cpw_CouplesSelfExpansion,SelfExpansion7,Background,Do you often learn new things about your partner?
1820,cpw_CouplesSelfExpansion,SelfExpansion8,Background,How much does your partner provide a source of exciting experiences?
1821,cpw_CouplesSelfExpansion,SelfExpansion9,Background,"How much do your partner’s strengths as a person (skills, abilities, etc.) compensate for some of yo"
1822,cpw_CouplesSelfExpansion,SelfExpansion10,Background,How much do you feel that you have a larger perspective on things because of your partner?
1823,cpw_CouplesSelfExpansion,SelfExpansion11,Background,How much has being with your partner resulted in your learning new things?
1824,cpw_CouplesSelfExpansion,SelfExpansion12,Background,How much has knowing your partner made you a better person?
1825,cpw_CouplesSelfExpansion,SelfExpansion13,Background,How much does being with your partner increase the respect other people have for you?  
1826,cpw_CouplesSelfExpansion,SelfExpansion14,Background,How much does your partner increase your knowledge?
1827,cpw_CouplesSelfExpansion,ExcitingActivities1,Background,How exciting are the things you have been doing together with your partner in the past 2 months?
1828,cpw_CouplesSelfExpansion,ExcitingActivities2,Background,"Considering the last 2 months, please rate the degree to which you and your partner have participate"
1829,cpw_CouplesSelfExpansion,PerceivedRelQuality1,Background,How satisfied are you with your relationship?
1830,cpw_CouplesSelfExpansion,PerceivedRelQuality2,Background,How content are you with your relationship?
1831,cpw_CouplesSelfExpansion,PerceivedRelQuality3,Background,How happy are you with your relationship?
1832,cpw_CouplesSelfExpansion,PerceivedRelQuality4,Background,How committed are you to your relationship?
1833,cpw_CouplesSelfExpansion,PerceivedRelQuality5,Background,How dedicated are you to your relationship?
1834,cpw_CouplesSelfExpansion,PerceivedRelQuality6,Background,How devoted are you to your relationship?
1835,cpw_CouplesSelfExpansion,PerceivedRelQuality7,Background,How intimate is your relationship?
1836,cpw_CouplesSelfExpansion,PerceivedRelQuality8,Background,How close is your relationship?
1837,cpw_CouplesSelfExpansion,PerceivedRelQuality9,Background,How connected are you to your partner?
1838,cpw_CouplesSelfExpansion,PerceivedRelQuality10,Background,How much do you trust your partner?
1839,cpw_CouplesSelfExpansion,PerceivedRelQuality11,Background,How much can you count on your partner?
1840,cpw_CouplesSelfExpansion,PerceivedRelQuality12,Background,How dependable is your partner?
1841,cpw_CouplesSelfExpansion,PerceivedRelQuality13,Background,How passionate is your relationship?
1842,cpw_CouplesSelfExpansion,PerceivedRelQuality14,Background,How lustful is your relationship?
1843,cpw_CouplesSelfExpansion,PerceivedRelQuality15,Background,How sexually intense is your relationship?
1844,cpw_CouplesSelfExpansion,PerceivedRelQuality16,Background,How much do you love your partner?
1845,cpw_CouplesSelfExpansion,PerceivedRelQuality17,Background,How much do you adore your partner?
1846,cpw_CouplesSelfExpansion,PerceivedRelQuality18,Background,How much do you cherish your partner?
1847,cpw_CouplesSelfExpansion,IOS,Background,"Above are seven pairs of circles. The left circle represents you, the right circle represents your p"
